GPE,count
Jelgava,2412
Rīga,2076
Riga,1909
maijs,1798
Krievija,1774
Vācija,1492
Pēterburga,1335
Francija,1294
Tukums,1004
Anglija,943
Bauska,848
Amerika,750
februāris,741
turks,728
augusts,709
Dobele,698
latvietis,687
Austrija,644
jūlijs,620
jūnijs,619
miņa,603
marts,564
Ventspils,534
Maskava,491
Itālija,489
pagasts,480
krievs,415
Aizpute,413
Turcija,408
Londona,395
Rigs,351
anglis,334
oktobris,323
Pēterburgs,304
Grobiņa,291
pilsēta,282
Liepaja,277
Grieķija,277
Bulgārija,270
Baldone,257
grieķis,247
Vīne,231
Talsu,216
Varšava,211
Spānija,202
Džūkste,196
polis,191
igaunis,190
Roma,188
Indija,186
vāci,184
Japāna,183
Rucava,175
Ungārija,171
Julija,170
Dānija,169
Berline,164
Talsi,163
Ēģipte,161
Kandava,157
Cēsis,156
Ilūkste,155
Beļģija,154
viss,153
amerikānis,150
Aprilis,149
Kuldiga,149
Odesa,148
Igaunija,144
Prūsija,144
Baltija,137
Latvija,135
Kopenhāgena,133
Bauska apriņķis,132
Nīca,130
Ķīna,127
Valmiera,125
drostala,124
Priekule,116
Jaunpils,115
Tukums apriņķis,111
Kijeva,106
Leiša,102
Valka,101
Mārds,98
katolis,96
Ērģeme,96
Kronštate,96
Dundaga,94
vācietis,91
kaunēties,87
Hamburgs,84
Madridē,84
Nereta,82
Talsu apriņķis,82
Bārbele,82
Indijas,81
mācīt,80
Polija,79
Tukumu,79
Iecava,78
Dobele apriņķis,77
Hamburga,75
Krima,74
Leišs,74
Durbe,73
Blīdene,72
palangēties,72
Vitebska,71
Jaunjelgava,71
Koreja,70
Kalsnava,69
Piltene,68
Cardissa,68
Alabams,67
Florida,67
Jelgava apgabals,66
Lielupis,64
Rundāle,63
Saldus,63
Volga,63
Austrālija,63
prūsis,62
Grobiņa apriņķis,62
Maija,61
franči,61
Ilūkste apriņķis,61
Engure,60
minēt,60
Rīga pilsēta,59
Ventspils apriņķis,58
Cēsis apriņķis,57
Lisabona,56
Aizpute apriņķis,56
Platone,54
Viļņa,53
Faro,52
visa,52
Somija,51
kaunēties guberņa,50
Kabile pagasts,49
Koknese,49
Jelgava pilsēta,49
Berlīne,48
stūris pagasts,48
Emburga,48
Cēsīs,47
Klaipēda,47
Alūksne,47
Platone pagasts,46
Dundaga pagasts,46
Lielvārde,46
Asija,46
Konstantinopole,45
Cesvaine,45
Bauska pilsēta,44
Gramsda,44
Kabile,44
Pleskava,44
Kuldīga,43
es,43
Tomska,43
Gārsene,42
Bārta,42
Kauņa,42
Vietalva,42
vīns,41
Zomija,41
Mina,41
Stende,41
Danciga,41
Code,41
Novgorodas,40
Auce,40
Kūba,39
Vaiņode,39
Jamaika,39
rudzi,39
Zviedrija,39
rio,37
Olaine,37
Kursišs pagasts,37
Sibirija,37
Armēnija,36
Lieldiena,36
kurzemnieks,36
Stokholma,36
Zibirija,36
Vircava,35
Irlava,35
Klaipēds,34
Vladivostoka,34
Vilande,33
Riga osta,33
Viborga,33
Kauņa guberņa,32
Zpānija,32
Elkšņi muiža pagasts,32
kur,32
Vašingtona,32
parisēt,32
Brasilija,32
apriņķis,32
Dobele pagasts,32
aloja,31
Iekš-Krievija,31
Gulbene,31
Vāczeme,31
armēnis,31
Kuba,30
Dignāja,30
Skoda,30
novembris,30
Holandija,29
dona,29
Jumurda,29
janvāris,29
Ērgļi,29
Pētcrburga,29
Leipciga,28
ērglis,28
Ēdole,28
Pērnava,28
Meksika,28
Boness,28
majors,28
bostons,28
Zosija,28
Liepajs,28
Liepaja pilsēta,28
Parise,28
Malme,28
tu,27
Lielupe,27
Remte,27
Lestene,27
decembris,27
Jaunjelgava apriņķis,26
Tukums pilsēta,26
Zentene,26
Orla,26
Krimulda,26
Zūru pagasts,25
Zerbija,25
sloka,25
Iecamas pagasts,25
saratovēties,25
Perma,25
Brisele,25
Ogre,24
Minska,24
Vitebska guberņa,24
Āsrika,24
Aprili,24
Sabile,24
Maķedonija,23
ebrejs,23
vieta,23
Vidlesbro,23
Narva,23
Kalkūne pagasts,23
Nīca pagasts,23
Merca,23
Riga pilsēta,23
Zviedrijas,23
Para,23
Bauska apgabals,23
Poltava,23
Bordo,22
Vienigs,22
guberņa,22
Baznica,22
Jaunpili,22
Bonesa,22
Ņujorka,22
tabors,22
Grenči pagasts,21
krievs valsts,21
vakar,21
Novgoroda,21
Alšvanga pagasts,21
Rauna,21
Osolmuiža pagasts,21
esere pagasts,21
Piltene pagasts,21
Bēne,21
Aloa,21
Juuijs,21
luterānis,20
Kalnciems,20
republika,20
Grimsby,20
Holande,20
bikstīt,20
Bērstele,20
kronis Vircava,20
Maroka,20
Rostova,19
Vandzene,19
Ārlava,19
Ugāle,19
Šauļs,19
Ceraukste pagasts,19
Grenči,19
Kuldiga apriņķis,19
Fraucija,19
Arkangeļsks,19
Nereta pagasts,19
Jclgava,19
Manila,19
Sesava,18
vecs,18
Niga,18
Krecvija,18
Vakar-Jndija,18
Lestene pagasts,18
Vjatka,18
ķīnietis,18
Vienu,18
Jelgavnieks,18
Madagaskara,18
Valmiera apriņķis,18
Belgrada,18
Malta,18
Havana,18
Rundāle pagasts,18
Šveicija,17
vakars,17
Vecpils,17
Asrika,17
Stokholms,17
Mogiļeva,17
Stelpe,17
Leiths,17
Lutriņiem,17
Smārde,17
osta,17
Kurcumuiža pagasts,17
ērģeles,17
Apriķi,17
baks,17
Īrija,17
Cīrava,16
Amsterdama,16
Pope,16
Kaira,16
Zante,16
Demene pagasts,16
k. pagasts,16
Vāne,16
Trinidade,16
Pchterburgs,16
Grantona,16
Jurjeva,16
kronis pagasts,16
Vecmuiža,16
Zauka pagasts,16
Vadakste,16
Zaļenieki,15
Edinburga,15
Eiropa,15
Esarmuiža pagasts,15
Kanāda,15
Ārlava pagasts,15
iv,15
Gaiķi,15
Alšvanga,15
Kr,15
Zibirijs,15
kronis,15
Oldenburga,15
Jelgava apriņķis,15
Saratova,15
tverties guberņa,15
Dunalka pagasts,15
dienvidi,15
Erhards,15
Matkule,15
tverties,15
Barbados,14
Rīga apriņķis,14
Bukaiši pagasts,14
b. pagasts,14
Pūre,14
Portugāle,14
Sece,14
Padure,14
kars,14
Dobele apgabals,14
Valka apriņķis,14
P. pagasts,14
Krecmija,14
Riga Jūrmala,14
ungārs,14
pārdot,14
Dzērbene,14
Perths,14
Milāna,14
Tavira,14
visai,14
Mācija,14
Liona,14
Pchtcrburga,13
Zloka,13
Serbija,13
Kuba sala,13
līgo,13
vienreiz,13
Grobiņa apgabals,13
Ārlama pagasts,13
lagūna,13
Madona,13
Aleksandrija,13
Zmiedrija,13
saratovēties guberņa,13
Stukmaņi,13
Baldone pagasts,13
tā,13
Vircava pagasts,13
Kuldiga pilsēta,13
Iecava pagasts,13
Rucama pagasts,13
Colberga,13
Maina,13
Skrunda,13
Melnkalne,13
Jaunpils pagasts,13
Nigranda pagasts,13
Odess,13
Banska,13
Maskama,13
Dinaburga,12
Renda,12
Orenburga,12
Trinidadi,12
Kristianija,12
Methile,12
katolis iela,12
Narvs,12
Mālpils,12
Pūre pagasts,12
Kamerūna,12
malks,12
Praga,12
Kalnamuiža pagasts,12
vispirms,12
Pilskalns pagasts,12
Sēme,12
tatārs,12
Carnikava,12
Lēdurga,12
Zaļenieki pagasts,12
Pernavs,12
Ļaudona,12
Vidscme,12
Roja,12
Rubene,12
jaungads,12
Prode pagasts,12
viesis,12
Anna pagasts,11
Persija,11
Zeptembri,11
Barbadosa,11
Zentene pagasts,11
Valgale pagasts,11
Zaldus pagasts,11
Eleja pagasts,11
TN,11
Priekule pagasts,11
Polocka,11
Svēte,11
Virtemberga,11
Cardisss,11
Krievija valsts,11
Jrlama pagasts,11
Persijs,11
Prāga,11
Gibraltāra,11
Auglija,11
Jelgava Dievakalpošana sv.,11
Marija,11
vasara,11
Amsterdams,11
Oktobers,11
Vologda,11
Samara,11
Alšmanga pagasts,11
Zemite pagasts,11
Bauska pagasts,11
latviete,11
dona apgabals,11
Jurjevs,11
līga,11
reņģe pagasts,11
Pleskava guberņa,11
Palangu,11
Kalnamuiža,11
Ērģeme pagasts,11
Aizkraukle,11
aizupe,11
Samara guberņa,11
aprīlis,11
Kacdanga pagasts,11
Aloā,11
Marseļa,11
Code pagasts,11
Friedrichsrūi,11
Laguayra,10
lasis,10
Palangā,10
Vācija valsts,10
mainīt,10
Vārme,10
Biksti,10
Rende pagasts,10
Kretinga,10
Demene,10
Arkangeļska,10
kūrs,10
Pekina,10
Harburga,10
Grobiņa pagasts,10
Dieppe,10
Sigulda,10
Durbe pagasts,10
reņģe,10
Taurkalne,10
Pēterburga guberņa,10
Vandzene pagasts,10
Nov,10
vāci valsts,10
Kurska,10
Ventspils pilsēta,10
Grobiņa pilsēta,10
Darmštate,10
