NOUN,count
gads,16405
pagasts,12347
laiks,11646
skola,10844
diena,9753
lieta,9561
kungs,9202
zeme,8954
darbs,8381
bērns,8163
dievs,7581
māja,7124
tiesa,6911
nams,6829
vieta,6553
miņa,6480
nauda,5987
roka,5909
priekša,5793
draudze,5527
turks,5359
mārds,5174
grāmata,4777
cilveks,4732
pilsēta,4520
miņs,4308
biedrība,4249
latvietis,4124
mācitajs,4109
gods,4037
muiža,4025
maksa,3968
puse,3965
zirgs,3905
ļaudis,3897
ceļš,3855
saimnieks,3766
tauta,3667
baznica,3601
krievs,3539
maldišana,3391
sirds,3383
iela,3297
apriņķis,3290
likums,3261
lauks,3232
miers,3186
dēls,3085
spēks,3070
draugs,3037
prieks,2917
kronis,2791
doma,2765
raksts,2748
gabals,2710
siema,2692
amats,2646
lops,2645
kuģis,2573
prāts,2566
pulks,2556
kars,2538
tirgus,2520
uguns,2517
dziesma,2449
daļa,2409
rublis,2369
rīts,2328
māte,2314
kopa,2299
svētki,2262
loceklis,2256
ūdens,2245
nakts,2238
valdiba,2201
Pēterburga,2128
acs,2114
mēnesis,2111
parāds,2110
runa,2076
jūra,2075
meita,2055
palīgs,2044
gals,2012
oktobris,1967
mala,1914
dzīve,1912
vakars,1911
māciba,1903
brālis,1875
ķēniņš,1867
pusse,1866
pasaule,1850
koks,1836
mīlestiba,1833
sapulce,1784
vīrs,1778
amise,1773
mērs,1767
valoda,1756
Zeptembris,1663
auglis,1648
kāja,1639
kurrs,1631
gaiss,1630
Liepaja,1610
tēms,1590
rudzi,1581
vārds,1573
balss,1569
mīrs,1558
miets,1555
manta,1523
prūsis,1508
padoms,1497
tēma,1480
nedēļa,1470
decembris,1460
dakteris,1454
guberņa,1444
bēda,1439
ķeisars,1419
August,1397
stunda,1391
valsts,1391
franči,1391
skolotajs,1371
galms,1356
iekša,1347
ēka,1341
ticiba,1336
laime,1333
kalns,1333
miesa,1323
biedrs,1311
daba,1301
galma,1291
augša,1291
prece,1291
gaisma,1290
karrs,1287
Nomembris,1284
reize,1283
apgabals,1280
kārta,1276
armija,1268
ģenerālis,1264
jauneklis,1248
masa,1241
pils,1225
sams,1220
lūgšana,1207
Keisars,1205
būšana,1201
labums,1188
pusdiena,1182
pēda,1175
starpa,1171
sāls,1162
krogs,1147
augusts,1146
dzīviba,1144
zemis,1139
Varets,1138
