VERB,count
būt,47811
varēt,7485
gribēt,6062
iet,5492
palikt,5295
tikt,5241
tapt,4526
dot,4208
nākt,4175
minēt,3598
redzēt,2863
dabūt,2856
sākt,2847
likt,2600
dzīvot,2599
teikt,2596
mīt,2226
rakstīt,2148
maksāt,2055
sacīt,1933
stāvēt,1929
pārdot,1928
atrast,1888
darrīt,1771
braukt,1687
lūgt,1607
celt,1606
appakšēt,1590
mirt,1588
atnākt,1577
saukt,1391
mācīt,1385
aiziet,1325
atbildēt,1307
spēt,1301
taisīt,1247
pirkt,1217
dzirdēt,1212
notikt,1137
meklēt,1102
atstāt,1083
nolikt,1058
stāstīt,1054
ņemt,1050
beigt,1023
darboties,965
palīdzēt,948
patikt,914
gaidīt,901
iziet,891
celties,846
ēst,846
izdot,841
sanākt,818
saldatāt,811
less,769
paganīt,757
rādīt,748
izteikt,744
Kristus,715
paņemt,705
rādīties,696
beidzot,690
iesākt,689
augt,687
kopt,661
staigāt,660
krist,650
marrbūt,647
atlaist,644
iecelt,639
uziet,622
klausīt,616
darra,615
saņemt,611
miet,600
trūkt,586
saprast,584
laist,575
skriet,574
uzņemt,571
runāt,570
prast,552
apstiprināt,552
nospriest,546
spriest,544
pateikt,538
uzcelt,534
strādāt,530
maldīt,525
izdarrīt,525
drīkstēt,524
ielikt,517
pieņemt,509
marrot,507
dzīt,496
pieteikties,496
izlaist,494
gulēt,492
degt,492
aizbraukt,491
pieminēt,488
steigties,487
gādāt,487
lassīt,485
izcelties,483
atdot,482
ciest,478
ienākt,476
top,472
sūtīt,470
šķīt,458
dzimt,454
darrs,450
mest,447
turrēt,440
apmeklēt,428
saķert,428
dziedāt,420
mācēt,416
pielikt,415
posts,415
-essot,409
glābt,400
nodot,398
izglābt,393
uzaicinatāt,392
saccīt,391
nosaukt,390
nokaut,385
sataisīt,383
brēkt,381
pārnākt,378
raudāt,377
mājot,373
paiet,372
darrīts,365
panākt,357
aizmirst,357
nopirkt,357
laulāt,352
saldati,351
ietaisīt,349
kalpot,349
iznākt,338
atbraukt,338
gribedams,332
apkopt,331
piedzīvot,329
izsludināt,329
domāt,327
Laj,326
lūgties,323
atmest,321
likties,320
taisīties,318
parisēt,317
nobraukt,314
ieiet,314
pienākt,310
nošaut,308
aplūkot,304
pabeigt,302
savadīt,292
pietikt,292
aizliegt,292
sarakstīt,291
nodegt,289
dalīt,287
dzert,287
pavēlēt,287
mācīties,286
parādīt,284
appiņāt,283
uzdot,282
nest,281
iemainot,281
salikt,281
ja-iet,277
doties,276
šaut,275
uzlikt,274
pārradīt,274
marre,274
cienīt,272
pateikties,271
pasargāt,271
uzsaukt,267
aizdzīt,264
mainīt,261
pļaut,259
izdzīt,257
sēt,257
pasīstēt,257
marrāt,256
pateicibēties,254
padarrīt,252
spīdēt,251
ticcēt,251
postīt,250
