verb,correct_lemma
būt,524398
tikt,109857
varēt,95133
gribēt,58665
tapt,57124
nākt,49286
iet,48130
palikt,44352
dot,38153
atrast,33290
ziņot,32573
dabūt,32065
minēt,32026
sākt,31017
notikt,29741
redzēt,25726
likt,23683
sacīt,23439
teikt,22726
dzīvot,22699
darīt,21132
stāvēt,20432
ņemt,19175
atstāt,18705
rakstīt,18228
krist,17912
mirt,17729
braukt,16903
maksāt,16828
saukt,16737
domāt,16687
lūgt,16308
pārdot,15738
beigt,15594
atbildēt,14508
spēt,13971
pieņemt,13825
celt,13783
runāt,13525
mācīt,13487
nolikt,12452
turēt,12426
dzirdēt,12321
meklēt,12237
aiziet,12032
mīt,11705
iziet,11622
paiet,11017
izdot,10998
saņemt,10975
iemērot,10929
gulēt,10241
nodot,9721
saprast,9583
atrasties,9504
trūkt,9484
uzņemt,9298
iesākt,8970
atnākt,8966
iecelt,8908
iespēt,8858
pieteikties,8729
apmeklēt,8663
ēst,8638
nomirt,8634
doties,8617
gaidīt,8222
noturēt,8221
celties,7911
ciest,7881
prast,7830
patikt,7705
iznākt,7647
augt,7571
nolemt,7562
iemainot,7491
saldatāt,7474
pirkt,7415
ierasties,7330
atrodāt,7231
izteikt,7091
uzaicinatāt,6913
pienākt,6898
nest,6880
darrīt,6817
apstiprināt,6817
pasniegt,6698
ieņemt,6685
mest,6445
ienākt,6442
skolot,6339
sagaidīt,6197
pastāvēt,6029
ievērot,5996
spriest,5978
palīdzēt,5878
panākt,5746
aizbraukt,5676
kopt,5614
derēt,5568
uzdot,5559
paņemt,5534
lasīt,5528
izcelties,5446
piederēt,5427
uzbrukt,5409
taisīt,5396
pasīstēt,5305
iedzīvotajāt,5295
prasīt,5274
sarīkot,5245
stāstīt,5204
sniegt,5130
klausīt,5112
staigāt,5100
atlaist,5054
uzsaukt,5053
rādīt,5023
strādāt,4887
cerēt,4826
atlikt,4813
likties,4789
dibināt,4781
noteikt,4756
atdot,4749
pāriet,4747
sanākt,4710
izņemt,4668
atbraukt,4653
laulāt,4614
dzimt,4597
pietikt,4564
nospriest,4542
izlaist,4520
iesusēt,4514
appakšēt,4494
laist,4491
atņemt,4480
nodegt,4464
ierīkot,4460
pavīzēt,4447
miet,4414
drīkstēt,4359
atļaut,4340
izdoties,4338
ieiet,4313
nodomāt,4295
sināt,4287
paziņot,4284
pieminēt,4227
turpināt,4217
dzīt,4199
iesniegt,4190
uziet,4168
atklāt,4165
nonākt,4148
steigties,4135
degt,4127
iegūt,4077
darboties,4053
pacelt,4011
sasniegt,4008
atmest,3962
dzert,3955
šķirties,3920
pateikties,3891
ievainot,3886
aizmirst,3869
dziedāt,3868
paganīt,3866
sākties,3853
parādīt,3811
ticēt,3810
kalpot,3782
izglābt,3736
raudāt,3729
vest,3727
rādīties,3711
palīdzibāt,3660
iemest,3644
izskaidrot,3636
pateicibēties,3619
nosaukt,3599
uzlikt,3573
māt,3569
pierādīt,3560
glābt,3557
ņem,3523
gādāt,3507
piedzīvot,3482
stāties,3481
pateicibāt,3475
šaut,3454
aizliegt,3452
maldīt,3433
līt,3410
pielikt,3403
nošaut,3401
mainīt,3383
postīt,3369
sūtīt,3366
iestāties,3357
izrīkot,3356
aplūkot,3332
rasties,3325
-esot,3320
rīkoties,3281
tīrīt,3278
pabeigt,3271
skanēt,3267
savienot,3265
sekot,3225
sēt,3202
beigties,3196
pārnākt,3190
uzsākt,3182
padarīt,3153
ielikt,3152
izdarīt,3136
izbraukt,3121
draudēt,3096
ļaut,3069
spert,3062
pateikt,3061
uzaicināt,3046
skriet,3001
uzlūkot,2998
dienēt,2996
sinēt,2979
saķert,2962
iedzīvot,2894
atskanēt,2879
saimniecibēties,2878
atsīt,2875
atnest,2874
nogalināt,2868
lūkot,2829
izlietot,2827
atkāpties,2777
radīt,2753
manīt,2752
slēgt,2738
aizbēgt,2730
piekrist,2722
mīlēt,2721
atcelt,2709
saslimt,2699
savadīt,2673
nopirkt,2671
uzcelt,2665
nodarboties,2653
jaut,2646
sadegt,2592
piespiest,2589
bēgt,2573
spiest,2497
lietot,2475
ievest,2467
izšķirt,2467
izrādijāt,2466
iesākties,2446
nobraukt,2443
izbēgt,2434
nobeigt,2400
izpildīt,2399
uznākt,2394
noiet,2382
ieteikt,2368
pļaut,2366
nodibināt,2366
paturēt,2355
jāt,2348
apkopt,2334
siet,2326
rīt,2322
lūgties,2301
sacelt,2280
apstāties,2278
nokaut,2237
izdemāties,2229
skatīties,2225
kāpt,2193
nākties,2187
mācēt,2184
noņemt,2182
piedot,2144
tecēt,2144
liecināt,2135
bīties,2134
nomest,2130
sajust,2116
savaksāt,2114
spīdēt,2111
izmest,2106
noslīkt,2100
aust,2099
pelnīt,2075
izsaukt,2070
nokrist,2065
pienest,2055
drukāt,2051
pacelties,2049
izsacīt,2048
lēkt,2040
ķert,2029
apturēt,2019
pretoties,2015
iestāt,2015
apspriest,1971
dodīties,1966
apņemties,1964
malt,1959
just,1952
nosist,1940
lūkoties,1934
rakt,1930
iebraukt,1900
izlikt,1898
ņemties,1893
pienākīties,1887
turrēt,1884
pārbraukt,1883
sēdēt,1882
nodrukāt,1875
pamest,1860
šķirt,1856
sastapt,1846
nogrimt,1841
mesties,1840
klāties,1840
iekrist,1839
sniegties,1836
sludināt,1835
pieciest,1830
aizslēgt,1828
mākt,1827
peldēt,1824
pieiet,1818
dzīties,1799
mājot,1797
sist,1779
iedot,1774
mācīties,1771
pabalstīt,1768
mantot,1767
ja-āt,1764
uzņemties,1758
deļīt,1754
ķerties,1745
jautāt,1744
parisēt,1725
liegt,1724
pieaugt,1724
birt,1719
ausīties,1718
padoties,1713
sargāt,1712
kalt,1710
salikt,1699
varetāt,1699
atteikt,1698
piešķirt,1693
tirgot,1688
brēkt,1680
krāt,1677
uzturēt,1665
iesaukties,1662
sasaukt,1655
pārtikt,1651
pārcelt,1648
sastāvēt,1645
cienīt,1640
pavēlēt,1630
apgaismot,1630
izrādīt,1614
iztikt,1611
piespriest,1609
kaut,1607
gadīties,1599
samest,1599
kult,1581
iemantot,1580
saccīt,1575
izglītot,1571
aizmest,1564
taisīties,1557
pārmest,1545
parādīties,1542
liet,1537
parādijāt,1536
rūkt,1528
jaukt,1519
iztaisīt,1518
kārt,1515
izrādijāties,1505
pamasēt,1502
valdīt,1493
parist,1489
mīļot,1487
dalīt,1486
atvērt,1485
pasašierāt,1481
pārņemt,1476
apklāt,1472
pārlabot,1469
-esmāt,1465
pārtraukt,1452
izaugt,1447
izlikties,1446
ilgt,1444
apliecināt,1438
panest,1434
izsludināt,1424
apmesties,1421
uzmanigāt,1421
aizrādīt,1420
uēt,1419
pielaist,1418
nostāties,1417
izdemāt,1413
maut,1405
uzticibāt,1404
rēķināt,1401
smieties,1395
uzticēt,1390
attaisnot,1390
aizdzīt,1388
izdzīt,1386
lassīt,1385
uzrādīt,1383
satikties,1375
sagrābt,1373
baudīt,1371
aizņemt,1363
atsist,1363
salt,1357
paģērēt,1357
marrāt,1353
sarakstīt,1341
stiprināt,1335
noprast,1330
aiznest,1328
iesaukt,1325
aizgrābt,1324
paklausīt,1322
liegties,1320
dusēt,1317
atjaunot,1314
piesiet,1310
pasīstamāt,1296
palaist,1284
sakrāt,1283
saimniecibāt,1281
kristīt,1279
sataisīt,1278
nosacīt,1275
piedalijāt,1272
mist,1271
aizstāvēt,1263
kustināt,1257
atsaukt,1253
ģērbties,1246
kust,1246
noslēgt,1244
patiesibēties,1242
eijot,1241
izteikties,1239
pildīt,1236
modināt,1233
tulkot,1232
plūst,1232
paspēt,1223
izdarrīt,1223
noskumt,1222
kārot,1221
skaitīt,1218
sadragāt,1218
sprāgt,1215
ietaisīt,1210
karot,1209
aizvest,1207
mēgt,1207
kost,1205
vīt,1204
izraut,1204
izglītibāt,1204
pasargāt,1200
paskaidrot,1198
sasiet,1196
piesūtīt,1196
kaitēt,1193
piedalitāties,1191
izsaukties,1191
noderēt,1191
šķist,1189
mēties,1188
paaugstināt,1185
aut,1182
sabojāt,1181
aprakt,1174
jabūt,1173
turēties,1168
pušķot,1164
satikt,1155
gribedēt,1154
izrādīties,1152
tuvoties,1147
apsargāt,1145
izcelt,1134
justies,1132
deļāt,1131
klāt,1121
atronēt,1117
raudzīties,1117
apklust,1115
saukties,1112
vist,1109
kliegt,1109
līst,1108
apspiest,1107
pasludināt,1106
bērt,1103
sapulcejušāties,1100
censties,1093
apsolīt,1085
attiekties,1081
nosīmāt,1080
kaunēties,1079
atteikties,1077
atlikties,1075
aprakstīt,1074
izrakt,1072
uzkāpt,1072
apdraudēt,1071
uzstāties,1070
iepasīties,1068
jumt,1068
klausīties,1067
uzskatīt,1066
atsaukties,1065
vēlēt,1063
nomanīt,1059
glabāt,1059
novērst,1053
atraut,1050
sakaut,1047
apbruņot,1046
barot,1044
paglabāt,1043
sapulcejāt,1043
tīt,1042
audzināt,1038
atraidīt,1038
līdzēt,1037
rakstīties,1034
vilt,1033
mēģināt,1029
skubināt,1028
apmierināt,1028
marrēt,1026
savākt,1022
sacelties,1021
pieteikt,1020
piemest,1014
sirnāt,1013
uzmest,1010
pasīstāt,1009
sabraukt,1007
iepirkt,1006
nomembrāt,1005
sinot,1004
iegumt,1002
izliet,1001
piedzimt,1000
teikties,1000
aicināt,998
izmaksāt,997
nogurt,996
sašaut,995
godāt,993
ienest,992
aiztikt,991
noķert,990
uzticigāt,987
apskatīt,982
slimot,981
vilkt,979
piecelties,978
uzaugt,977
plosīties,972
savaitāt,971
noliegt,968
spēlēt,968
nosiegumāt,968
sagatamot,967
vienoties,967
mēslot,967
izskatīties,961
izsagtāt,958
pietrūkt,958
sacidēt,958
malties,956
jukt,956
atšķirt,953
deļēties,949
strādajot,949
izdodāt,948
dēt,948
sagatavot,947
nolaist,945
pielūgt,942
nogaidīt,941
nomesties,941
izšaut,940
iepriecināt,937
salīgt,937
raut,936
slēpt,935
uzturēties,929
pārspēt,928
paredzēt,927
piedalīties,927
viest,925
laimigāt,922
piesaukt,922
rakstijis,922
piekust,922
izslēgt,921
ceļot,917
saturēt,916
savienoties,916
piebraukt,915
balsot,914
pārradīt,914
apsēsties,913
velties,913
iesiet,912
ierast,912
izgudrot,911
aizmaksāt,910
nodzīvot,907
sajaukt,907
rāt,906
maijagot,902
stāt,900
kauties,900
izdalīt,900
paslēpt,897
marrbūt,894
nemanot,893
mairoties,891
arestēt,890
piekopt,889
izvest,887
apciemot,887
aizmigt,887
apkampt,885
nopelnīt,885
kāst,884
nosagtāt,884
iesūtīt,883
pattāt,882
izstāstīt,882
ierauga,881
ilgoties,881
pilēt,881
šaubities,880
vērt,880
uztaisīt,877
padot,877
sodīt,876
saccidēt,876
taupīt,874
šēligāt,873
piedzert,873
aizceļot,870
dzenāt,869
dancot,869
sagļāt,865
salīdzināt,862
drebēt,858
ielaist,856
art,853
pakrist,851
nošēlojēt,848
pakārt,848
atmaksāt,847
vajadzēt,847
izturešanot,847
apsegt,846
uzkrist,846
šēloties,845
melot,842
rīkot,842
rast,838
aizkārt,837
pavīzsēt,837
aprīt,837
atmēlēt,835
raudzīt,831
pārsteigt,829
piebiedroties,828
atturēt,826
izklīst,826
pārspriest,824
izdemumāt,822
sabiedrot,821
sadabūt,821
nošēlot,820
nosalt,819
segt,819
pārkāpt,818
apbrīnot,816
pievest,816
ieraudzīt,816
cirst,815
pastāvigāt,815
atgriesāt,810
izmeklēt,809
